0060;AMELAND;681
0015;GROOTEGAST;1436
1701;WESTERVELD;3622
0081;LEEUWARDERADEEL;1720
0203;BARNEVELD;3576
0267;NIJKERK;3922
0321;HOUTEN;8936
0313;BUNSCHOTEN;3746
0281;TIEL;2630
0358;AALSMEER;1759
0534;HILLEGOM;1271
0479;ZAANSTAD;17774
0576;NOORDWIJKERHOUT;2588
0623;VLIST;751
0504;DIRKSLAND;721
0513;GOUDA;5119
0441;SCHAGEN;2690
0603;RIJSWIJK;2274
0537;KATWIJK;9368
0626;VOORSCHOTEN;1278
0687;MIDDELBURG;3688
0851;STEENBERGEN;3318
1724;BERGEIJK;3380
0297;ZALTBOMMEL;2944
0797;HEUSDEN;5674
0820;NUENEN CA;2424
0505;DORDRECHT;9568
0870;WERKENDAM;2629
0664;GOES;4703
1706;CRANENDONCK;2109
0707;ZEDERIK;2079
1709;MOERDIJK;3292
0866;WAALRE;1586
0879;ZUNDERT;2138
0268;NIJMEGEN;10629
0150;DEVENTER;13339
0200;APELDOORN;19442
0168;LOSSER;3342
0282;UBBERGEN;560
1586;OOST GELRE;5180
0269;OLDEBROEK;2654
0082;LEMSTERLAND;2031
0118;HOOGEVEEN;6824
0736;DE RONDE VENEN;4619
0327;LEUSDEN;2103
0402;HILVERSUM;7382
0352;WIJK BIJ DUURSTEDE;1896
0351;WOUDENBERG;653
0569;NIEUWKOOP;5211
0431;OOSTZAAN;1155
0568;BERNISSE;2516
0489;BARENDRECHT;5717
0556;MAASSLUIS;2944
0613;ALBRANDSWAARD;3274
0563;MOORDRECHT;489
0643;NEDERLEK;531
0375;BEVERWIJK;2706
0476;ZIJPE;1241
0458;SCHERMER;1083
0547;LEIDERDORP;4287
0546;LEIDEN;6491
0693;GRAAFSTROOM;482
1674;ROOSENDAAL;5739
0748;BERGEN OP ZOOM;7761
0844;SCHIJNDEL;4072
1721;BERNHEZE;5730
0860;VEGHEL;7716
0717;VEERE;3004
0718;VLISSINGEN;3033
0809;LOON OP ZAND;1867
1702;SINT ANTHONIS;2550
1655;HALDERBERGE;3377
0689;GIESSENLANDEN;2852
0744;BAARLE-NASSAU;1084
1723;ALPHEN-CHAAM;1659
0962;SCHINNEN;1100
0983;VENLO;9689
0918;HELDEN;3928
0957;ROERMOND;5165
0941;MEIJEL;821
0907;GENNEP;2470
1774;DINKELLAND;5592
1955;MONTFERLAND;6966
0163;HELLENDOORN;6125
0153;ENSCHEDE;21126
0158;HAAKSBERGEN;1895
0196;RIJNWAARDEN;1140
1734;OVERBETUWE;6372
0213;BRUMMEN;2931
0944;MOOK EN MIDDELAAR;369
1730;TYNAARLO;3472
0064;BOLSWARD;2016
1680;AA EN HUNZE;3455
0058;DONGERADEEL;2734
0710;WUNSERADIEL;726
0083;MENALDUMADEEL;2233
1663;DE MARNE;1664
0022;LEEK;2946
0088;SCHIERMONNIKOOG;226
0344;UTRECHT;16473
1581;UTRECHTSE HEUVELRUG;6289
0342;SOEST;3129
0353;IJSSELSTEIN;3149
0307;AMERSFOORT;12939
1696;WIJDEMEREN;4156
0312;BUNNIK;1510
0406;HUIZEN;4668
0236;GELDERMALSEN;2635
0394;HAARLEMMERMEER;11858
1507;HORST AAN DE MAAS;6151
0393;HAARLEMMERLIEDE CA;1170
0450;UITGEEST;2223
0852;WATERLAND;2745
0580;OOSTFLAKKEE;1588
0588;KORENDIJK;1407
0559;MIDDELHARNIS;2479
0542;KRIMPEN AAN DEN IJSSEL;2049
0499;BOSKOOP;929
0396;HEEMSKERK;4076
0405;HOORN;12602
0880;WORMERLAND;1195
0366;ANNA PAULOWNA;1726
1783;WESTLAND;14990
1672;RIJNWOUDE;3036
0846;SINT-OEDENRODE;3028
0758;BREDA;13214
1659;LAARBEEK;3224
0824;OISTERWIJK;4350
0678;KAPELLE;1389
0845;SINT-MICHIELSGESTEL;5403
0214;BUREN;4664
0756;BOXMEER;4404
0815;MILL EN SINT HUBERT;1721
1684;CUIJK;6400
0888;BEEK;2728
0905;EIJSDEN;2093
0917;HEERLEN;10617
0934;MAASBREE;1755
0986;VOERENDAAL;1316
0935;MAASTRICHT;12844
0994;VALKENBURG AAN DE GEUL;1836
0928;KERKRADE;3849
0965;SIMPELVELD;1973
0202;ARNHEM;8912
0265;MILLINGEN AAN DE RIJN;757
0274;RENKUM;2318
